ID;Gender;AgeMonths_midtesting;AgeGroup_midtesting;Mediansplit_midtesting_entiresample;WMUpdating;WMBoxes;WMGrid
1;m;62;5;old;0.833333333;0.375;0.8789806
2;m;42;3;young;0.666666667;0.5;0.7673841
3;m;44;3;young;0.833333333;0.625;0.7307323
4;m;63;5;old;0.666666667;0.5;0.6232522
5;f;46;3;young;0.5;0.375;0.6242853
6;m;40;3;young;0.5;;
7;m;46;3;young;0.833333333;0.5;0.7365544
8;m;58;4;old;0.666666667;0.75;0.6520365
9;f;41;3;young;0.833333333;0.375;0.7827794
10;m;44;3;young;0.666666667;0.375;
11;f;63;5;old;1;0.625;0.8613249
12;f;63;5;old;1;0.5;0.8218418
13;f;42;3;young;;0.375;0.670968
14;m;44;3;young;0.833333333;0.5;0.7157023
15;f;54;4;old;0.833333333;0.625;0.7769573
17;f;40;3;young;0.666666667;0.25;0.5547976
18;f;44;3;young;0.666666667;0.75;0.8382124
19;f;39;3;young;0.666666667;0.5;0.804036
20;f;56;4;old;0.833333333;0.5;0.7809235
21;f;43;3;young;1;0.375;0.8517517
22;f;57;4;old;0.666666667;0.625;
23;f;54;4;old;0.666666667;0.375;0.7442716
24;f;56;4;old;0.833333333;0.625;0.6977392
25;f;51;4;old;0.5;0.625;0.8979768
26;m;52;4;old;0.666666667;0.625;0.6640204
27;f;55;4;old;0.833333333;0.625;0.7715005
28;m;49;4;young;1;0.5;0.7715005
29;f;50;4;old;0.666666667;0.25;0.7076198
30;m;52;4;old;0.666666667;0.625;0.8558681
31;f;44;3;young;0.666666667;0.25;0.7211591
32;f;43;3;young;0.666666667;0.625;0.7632678
33;f;47;3;young;0.666666667;0.25;
34;f;46;3;young;0.833333333;0.25;0.6051582
35;m;38;3;young;0.666666667;0.375;0.7538448
36;m;41;3;young;0.666666667;0.625;0.6572785
37;f;40;3;young;0.5;0.375;0.7102454
38;m;46;3;young;1;0.5;0.8286392
39;m;46;3;young;0.666666667;0.25;
40;f;54;4;old;0.666666667;0.75;0.8788304
41;m;54;4;old;0.833333333;0.625;0.953775
42;f;56;4;old;0.833333333;0.5;0.7619273
43;m;40;3;young;1;0.25;0.7919874
44;m;43;3;young;0.666666667;0.625;0.6830165
45;f;51;4;old;0.833333333;0.375;0.7769573
46;f;50;4;old;0.833333333;0.625;0.8421785
47;f;54;4;old;0.666666667;0.5;0.6326752
48;m;44;3;young;0.833333333;0.25;0.7020127
49;m;38;3;young;0.833333333;;
50;f;45;3;young;0.666666667;;
51;f;43;3;young;1;0.5;0.7497285
52;f;43;3;young;0.666666667;0.5;0.6504811
53;f;44;3;young;0.666666667;0.5;0.8735237
54;m;52;4;old;0.833333333;0.75;0.8558681
55;m;44;3;young;0.666666667;0.25;0.7769573
56;m;44;3;young;0.666666667;0.75;0.7497285
58;m;51;4;old;1;0.5;0.8517517
59;m;53;4;old;0.666666667;0.75;0.8558681
60;m;49;4;young;0.833333333;0.375;0.707985
62;f;47;3;young;0.666666667;0.375;0.7307323
64;m;38;3;young;0.666666667;0.75;0.7061291
65;m;36;3;young;1;0.25;0.8000699
66;m;56;4;old;0.666666667;0.5;0.8150999
67;m;49;4;young;0.5;0.75;0.7117362
68;f;50;4;old;1;0.5;0.7769573
69;m;54;4;old;1;0.5;0.7252755
70;f;52;4;old;1;0.5;0.610961
71;f;52;4;old;0.833333333;0.125;0.7593017
72;m;60;5;old;0.833333333;0.5;0.8844375
73;m;40;3;young;0.833333333;0.625;0.66176
74;f;38;3;young;1;0.125;0.5845549
75;f;40;3;young;0.666666667;0.25;0.8735237
76;m;52;4;old;1;0.5;0.726616
77;f;42;3;young;1;0.375;0.7211591
78;m;43;3;young;1;0.5;
79;f;46;3;young;1;0.625;0.7904967
80;f;45;3;young;0.666666667;0.25;0.6800836
81;m;44;3;young;0.666666667;0.25;
82;f;42;3;young;0.666666667;0.5;
83;f;52;4;old;0.666666667;0.25;
84;f;52;4;old;0.833333333;0.375;0.732438
85;f;36;3;young;0.666666667;;
86;m;52;4;old;0.666666667;0.75;
87;f;54;4;old;0.666666667;0.25;0.7593017
88;m;39;3;young;0.833333333;0.875;
89;m;45;3;young;0.666666667;0.625;0.7208517
91;f;40;3;young;0.666666667;0.625;0.763633
92;m;51;4;old;0.833333333;0.375;0.8789806
93;f;46;3;young;0.666666667;0.25;0.794613
94;f;47;3;young;0.5;0.5;0.5919648
95;f;47;3;young;0.833333333;0.25;0.7252755
96;m;56;4;old;0.833333333;0.375;0.7824142
97;m;55;4;old;0.833333333;0.375;0.8421785
98;f;47;3;young;0.5;0.375;0.6313347
99;f;47;3;young;0.5;0.5;0.7538448
100;m;59;4;old;1;0.25;0.8096431
101;m;53;4;old;0.666666667;0.625;0.8844375
102;m;49;4;young;0.833333333;0.375;0.8383493
103;m;51;4;old;0.666666667;0.75;0.732438
104;m;49;4;young;0.833333333;0.75;0.7497285
105;m;55;4;old;0.666666667;0.875;0.9306625
106;f;47;3;young;0.833333333;0.375;0.7579612
107;f;53;4;old;0.666666667;0.625;0.6600543
108;f;58;4;old;0.5;0.375;0.9306625
109;m;42;3;young;0.5;0.625;0.5828492
110;f;43;3;young;0.833333333;0.75;0.8748642
111;f;47;3;young;0.666666667;0.625;0.7632678
112;f;48;4;young;0.833333333;0.375;0.6164179
113;m;47;3;young;0.833333333;0.625;0.8327556
114;m;49;4;young;0.666666667;0.625;0.6967061
115;f;45;3;young;0.833333333;0.75;0.7126048
116;f;61;5;old;0.833333333;0.625;0.7538448
117;m;65;5;old;0.833333333;0.75;
118;f;64;5;old;0.666666667;0.75;0.90755
119;f;61;5;old;0.666666667;0.375;0.732438
120;m;72;6;old;0.5;0.75;0.8694074
121;f;60;5;old;0.833333333;0.625;0.8096431
122;f;54;4;old;1;0.625;0.8231824
123;f;53;4;old;0.666666667;0.25;
124;m;52;4;old;0.5;0.625;0.804036
125;m;41;3;young;0.5;0.625;
126;f;54;4;old;0.666666667;0.375;
127;f;59;4;old;1;0.75;0.7826292
128;f;39;3;young;0.5;;
129;f;55;4;old;0.666666667;0.25;
130;f;46;3;young;0.666666667;0.375;0.7211591
131;m;53;4;old;1;0.25;
132;f;58;4;old;0.666666667;0.5;
133;f;64;5;old;0.5;0.75;0.7361892
134;m;59;4;old;0.833333333;;
135;m;55;4;old;0.666666667;0.75;
136;m;54;4;old;0.666666667;0.375;
137;f;44;3;young;0.666666667;;
138;m;46;3;young;0.666666667;0.25;
139;f;42;3;young;0.5;;
140;f;53;4;old;0.833333333;;
141;f;58;4;old;0.5;;
143;f;44;3;young;0.5;;
144;m;46;3;young;0.833333333;0.625;0.778663
145;f;56;4;old;1;0.375;0.8382124
146;m;53;4;old;0.666666667;0.75;0.6422484
147;f;44;3;young;0.666666667;0.375;0.7959535
148;f;45;3;young;0.666666667;0.875;0.8598342
149;f;58;4;old;0.833333333;0.5;0.7673841
150;m;58;4;old;0.833333333;0.375;0.8286392
151;f;58;4;old;1;0.5;0.90755
152;f;48;4;young;0.833333333;1;0.7211591
153;f;49;4;young;0.833333333;0.375;0.8517517
154;m;53;4;old;0.833333333;0.625;
155;m;48;4;young;0.833333333;0.375;0.8557178
156;m;57;4;old;0.666666667;0.625;0.865291
157;m;54;4;old;0.666666667;0.625;0.7756168
158;m;58;4;old;1;0.5;0.8979768
159;m;46;3;young;0.666666667;0.75;0.865291
160;f;57;4;old;0.666666667;0.625;0.7768071
161;f;46;3;young;0.666666667;0.25;0.8058919
162;m;46;3;young;0.666666667;0.5;0.7959535
163;f;45;3;young;0.666666667;0.625;
164;m;55;4;old;0.666666667;0.625;0.6997523
165;f;55;4;old;0.666666667;0.75;0.7824142
166;m;52;4;old;0.666666667;0.625;0.613679
167;f;58;4;old;0.333333333;;
168;f;54;4;old;0.666666667;;
169;m;52;4;old;0.833333333;;
170;f;43;3;young;1;;
171;m;40;3;young;0.666666667;;
172;m;44;3;young;0.666666667;;
173;m;40;3;young;0.666666667;;
174;f;56;4;old;0.833333333;;
175;f;41;3;young;0.5;;
176;f;59;4;old;1;;
177;f;52;4;old;0.666666667;;
181;f;56;4;old;1;;
182;f;56;4;old;0.666666667;;
184;m;58;4;old;0.833333333;;
189;m;41;3;young;0.666666667;;
190;f;43;3;young;0.833333333;;
191;m;43;3;young;0.666666667;;
192;m;45;3;young;0.666666667;;
193;m;54;4;old;0.666666667;;
194;m;51;4;old;0.5;;
195;m;58;4;old;1;;
196;f;36;3;young;0.666666667;;
197;f;46;3;young;0.5;;
198;f;41;3;young;0.666666667;;
199;f;57;4;old;0.666666667;;
