ID;Gender;Age_months;Age_groups;AdditionalSupportNeeds;AgeMonths_midtesting;AgeGroup_midtesting;Mediansplit_midtesting_entiresample;TestingLocation;dropout;Reason_dropout;How_many_trials_valid;Trial;NumberSearches_AcrossPlatforms;Emptied_all_boxes;Number.Boxes.Emptied;Efficiency;nr_redundant_searches;ProportionCorrect_AcrossBothtrials;Platform1_WhichBox;Platform1_Position;Platform2_WhichBox;Platform2_Position;Strategy;Video;FirstEightSearches_inRespectiveTrial_EmptiedAllBoxes;FirstEightSearches_inRespectiveTrial_NumberBoxesEmptied_AcrossBothPlatforms;SearchesThreetoEight_NrBoxesEmptied_InRespectiveTrial_AcrossBothPlatforms;FirstEightSearches_inRespectiveTrial_Efficiency;SearchesThreetoEight_Efficiency_InRespectiveTrial_AcrossBothPlatforms;SearchesThreetoEight_ProportionCorrect_AcrossBothTrials_orInTrial1ForKidswithOnlyOneValidTrial;FirstEightSearches_ProportionCorrect_AcrossBothtrials_orInTrial1_ForKids_withOnly1ValidTrial;"P1P2_trial_correct (""correct"" meaning here that there were no redundant searches on either platform, i.e., efficiency = 1), yes = 1, no = 0";FirstFourSearchesOnPlatform1_NumberOfBoxesEmptied;Comment
81;m;42;3;no;44;3;young;Fife;no;;1 and 2;1;13;no;7;0.538461538;6;0.658;purple;1;green;1;no;ID81_WM_InterferenceIB_m_3y;no;6;4;0.75;0.666666667;0.75;0.812;0;3;
81;m;42;3;no;44;3;young;Fife;no;;1 and 2;2;9;no;7;0.777777778;2;0.658;yellow;1;yellow;1;no;ID81_WM_InterferenceIB_m_3y;no;7;5;0.875;0.833333333;0.75;0.812;0;3;
122;f;53;4;no;54;4;old;Fife;no;;1 and 2;1;8;yes;8;1;0;0.694;purple;1;green;1;no;ID122_WM_InterferenceIB_f_4y;yes;8;6;1;1;0.75;0.8125;0;4;
122;f;53;4;no;54;4;old;Fife;no;;1 and 2;2;18;no;7;0.388888889;11;0.694;green;2;green;3;no;ID122_WM_InterferenceIB_f_4y;no;5;3;0.625;0.5;0.75;0.8125;0;2;
123;f;52;4;no information;53;4;old;Fife;no;;1 and 2;1;10;yes;8;0.8;2;0.75;yellow;2;green;1;no;ID123_WM_InterferenceIB_f_4y;no;6;4;0.75;0.666666667;0.667;0.75;0;3;
123;f;52;4;no information;53;4;old;Fife;no;;1 and 2;2;10;no;7;0.7;3;0.75;purple;4;yellow;1;no;ID123_WM_InterferenceIB_f_4y;no;6;4;0.75;0.666666667;0.667;0.75;0;3;
124;m;52;4;no;52;4;old;Fife;no;;1 and 2;1;12;no;7;0.583333333;5;0.525;blue;3;yellow;2;no;ID124_WM_InterferenceIB_m_4y;no;5;3;0.625;0.5;0.583;0.6875;0;3;
124;m;52;4;no;52;4;old;Fife;no;;1 and 2;2;15;no;7;0.466666667;8;0.525;blue;3;blue;3;no;ID124_WM_InterferenceIB_m_4y;no;6;4;0.75;0.666666667;0.583;0.6875;0;3;
125;m;40;3;no;41;3;young;Fife;no;;1 and 2;1;12;no;7;0.583333333;5;0.68;green;4;yellow;2;no;ID125_WM_InterferenceIB_m_3y;no;5;3;0.625;0.5;0.666;0.75;0;3;
125;m;40;3;no;41;3;young;Fife;no;;1 and 2;2;9;no;7;0.777777778;2;0.68;yellow;1;yellow;1;no;ID125_WM_InterferenceIB_m_3y;no;7;5;0.875;0.833333333;0.666;0.75;0;3;
130;f;45;3;no;46;3;young;Fife;no;;1 and 2;1;9;no;7;0.777777778;2;0.722;green;4;green;1;no;ID130_WM_InterferenceIB_f_3y;no;6;4;0.75;0.666666667;0.583;0.6875;0;2;
130;f;45;3;no;46;3;young;Fife;no;;1 and 2;2;12;yes;8;0.666666667;4;0.722;purple;1;purple;4;no;ID130_WM_InterferenceIB_f_3y;no;5;3;0.625;0.5;0.583;0.6875;0;2;
128;f;39;3;no information;39;3;young;Fife;no;;1 and 2;1;16;no;7;0.4375;9;0.608;purple;1;green;1;no;ID128_WM_InterferenceIB_f_3y;no;5;3;0.625;0.5;0.666;0.75;0;3;
128;f;39;3;no information;39;3;young;Fife;no;;1 and 2;2;9;no;7;0.777777778;2;0.608;blue;3;yellow;1;no;ID128_WM_InterferenceIB_f_3y;no;7;5;0.875;0.833333333;0.666;0.75;0;3;
127;f;58;4;no;59;4;old;Fife;no;;1 and 2;1;8;yes;8;1;0;0.889;purple;1;green;1;no;ID127_WM_InterferenceIB_f_4y;yes;8;6;1;1;0.916;0.9375;0;4;
127;f;58;4;no;59;4;old;Fife;no;;1 and 2;2;9;no;7;0.777777778;2;0.889;yellow;1;blue;2;no;ID127_WM_InterferenceIB_f_4y;no;7;5;0.875;0.833333333;0.916;0.9375;0;3;
129;f;54;4;developmental delay by about 12 months - improving now, she is in foster care;55;4;old;Fife;no;did not do second trial;1;1;10;yes;8;0.8;2;;blue;3;purple;4;no;ID129_WM_InterferenceIB_f_4y;no;6;4;0.75;0.666666667;0.667;0.75;0;3;
135;m;54;4;no information;55;4;old;Fife;no;;1 and 2;1;8;no;6;0.75;2;0.569;yellow;2;blue;3;no;ID135_WM_InterferenceIB_m_4y;no;6;4;0.75;0.666666667;0.667;0.75;0;4;
135;m;54;4;no information;55;4;old;Fife;no;;1 and 2;2;18;no;7;0.388888889;11;0.569;yellow;1;purple;4;no;ID135_WM_InterferenceIB_m_4y;no;6;4;0.75;0.666666667;0.667;0.75;0;3;
138;m;45;3;no;46;3;young;Fife;no;;1 and 2;1;11;no;7;0.636363636;4;0.682;green;4;yellow;2;no;ID138_WM_InterferenceIB_m_3y;no;6;4;0.75;0.666666667;0.583;0.6875;0;3;
138;m;45;3;no;46;3;young;Fife;no;;1 and 2;2;11;yes;8;0.727272727;3;0.682;blue;3;yellow;1;no;ID138_WM_InterferenceIB_m_3y;no;5;3;0.625;0.5;0.583;0.6875;0;2;
137;f;43;3;no;44;3;young;Fife;no;;1 and 2;1;13;no;7;0.538461538;6;0.555;green;4;yellow;2;no;ID137_WM_InterferenceIB_f_3y_part1, ID137_WM_InterferenceIB_f_3y_part2;no;6;4;0.75;0.666666667;0.583;0.6875;0;3;
137;f;43;3;no;44;3;young;Fife;no;;1 and 2;2;14;yes;8;0.571428571;6;0.555;purple;4;yellow;1;no;ID137_WM_InterferenceIB_f_3y_part1, ID137_WM_InterferenceIB_f_3y_part2;no;5;3;0.625;0.5;0.583;0.6875;0;3;
136;m;53;4;no information;54;4;old;Fife;no;;1 and 2;1;10;yes;8;0.8;2;0.75;purple;1;purple;4;no;video broken, file cannot be played;no;6;4;0.75;0.666666667;0.667;0.75;0;3;
136;m;53;4;no information;54;4;old;Fife;no;;1 and 2;2;10;no;7;0.7;3;0.75;yellow;1;yellow;1;no;video broken, file cannot be played;no;6;4;0.75;0.666666667;0.667;0.75;0;3;
140;f;52;4;no information;53;4;old;Fife;no;;1 and 2;1;9;yes;8;0.888888889;1;0.736;yellow;2;purple;4;no;ID140_WM_InterferenceIB_f_4y;no;7;5;0.875;0.833333333;0.666;0.75;0;3;
140;f;52;4;no information;53;4;old;Fife;no;;1 and 2;2;12;no;7;0.583333333;5;0.736;purple;4;yellow;1;no;ID140_WM_InterferenceIB_f_4y;no;5;3;0.625;0.5;0.666;0.75;0;3;
134;m;58;4;no information;59;4;old;Fife;no;;1 and 2;1;9;yes;8;0.888888889;1;0.794;blue;3;yellow;2;no;ID134_WM_InterferenceIB_m_4y;no;7;5;0.875;0.833333333;0.75;0.8125;0;3;
134;m;58;4;no information;59;4;old;Fife;no;;1 and 2;2;10;no;7;0.7;3;0.794;blue;3;purple;4;no;ID134_WM_InterferenceIB_m_4y;no;6;4;0.75;0.666666667;0.75;0.8125;0;3;
133;f;64;5;no;64;5;old;Fife;no;;1 and 2;1;12;no;7;0.583333333;5;0.479;yellow;2;blue;3;no;ID133_WM_InterferenceIB_f_5y;no;5;3;0.625;0.5;0.666;0.75;0;3;
133;f;64;5;no;64;5;old;Fife;no;;1 and 2;2;8;no;7;0.875;1;0.479;blue;3;green;3;no;ID133_WM_InterferenceIB_f_5y;no;7;5;0.875;0.833333333;0.666;0.75;0;4;
117;m;64;5;no;65;5;old;Fife;no;;1 and 2;1;8;no;7;0.875;1;0.707;yellow;2;yellow;2;no;ID117_WM_InterferenceIB_m_5y;no;7;5;0.875;0.833333333;0.75;0.812;0;4;
117;m;64;5;no;65;5;old;Fife;no;;1 and 2;2;13;no;7;0.538461538;6;0.707;yellow;1;yellow;1;no;ID117_WM_InterferenceIB_m_5y;no;6;4;0.75;0.666666667;0.75;0.812;0;3;
143;f;43;3;no;44;3;young;Fife;no;;1 and 2;1;16;no;7;0.4375;9;0.51;green;4;yellow;2;no;ID143_WM_InterferenceIB_f_3y;no;5;3;0.625;0.5;0.583;0.6875;0;3;
143;f;43;3;no;44;3;young;Fife;no;;1 and 2;2;12;no;7;0.583333333;5;0.51;blue;3;yellow;1;no;ID143_WM_InterferenceIB_f_3y;no;6;4;0.75;0.666666667;0.583;0.6875;0;3;
139;f;42;3;no information;42;3;young;Fife;no;;1 and 2;1;12;no;7;0.583333333;5;0.642;yellow;2;blue;3;no;ID139_WM_InterferenceIB_f_3y;no;5;3;0.625;0.5;0.583;0.6875;0;2;
139;f;42;3;no information;42;3;young;Fife;no;;1 and 2;2;10;no;7;0.7;3;0.642;yellow;1;blue;2;no;ID139_WM_InterferenceIB_f_3y;no;6;4;0.75;0.666666667;0.583;0.6875;0;3;
141;f;58;4;no;58;4;old;Fife;no;;1 and 2;1;11;no;7;0.636363636;4;0.668;purple;1;green;1;no;ID141_WM_InterferenceIB_f_4y;no;5;3;0.625;0.5;0.583;0.6875;0;2;
141;f;58;4;no;58;4;old;Fife;no;;1 and 2;2;10;no;7;0.7;3;0.668;blue;3;yellow;1;no;ID141_WM_InterferenceIB_f_4y;no;6;4;0.75;0.666666667;0.583;0.6875;0;3;
132;f;57;4;no;58;4;old;Fife;no;;1 and 2;1;10;no;7;0.7;3;0.517;blue;3;green;1;no;ID132_WM_InterferenceIB_f_4y;no;6;4;0.75;0.666666667;0.5;0.625;0;3;
132;f;57;4;no;58;4;old;Fife;no;;1 and 2;2;18;no;6;0.333333333;12;0.517;green;2;yellow;1;no;ID132_WM_InterferenceIB_f_4y;no;4;2;0.5;0.333333333;0.5;0.625;0;2;
126;f;53;4;no information;54;4;old;Fife;no;;1 and 2;1;10;no;7;0.7;3;0.6;purple;1;yellow;2;no;ID126_WM_InterferenceIB_f_4y;no;6;4;0.75;0.666666667;0.667;0.75;0;3;
126;f;53;4;no information;54;4;old;Fife;no;;1 and 2;2;14;no;7;0.5;7;0.6;yellow;1;green;3;no;ID126_WM_InterferenceIB_f_4y;no;6;4;0.75;0.666666667;0.667;0.75;0;3;
131;m;53;4;no;53;4;old;Fife;no;;1 and 2;1;8;yes;8;1;0;1;yellow;2;yellow;2;yes;ID131_WM_InterferenceIB_m_4y;yes;8;6;1;1;1;1;1;4;
131;m;53;4;no;53;4;old;Fife;no;;1 and 2;2;8;yes;8;1;0;1;yellow;1;yellow;1;yes;ID131_WM_InterferenceIB_m_4y;yes;8;6;1;1;1;1;1;4;
171;m;40;3;no;40;3;young;Fife;no;;1 and 2;1;12;no;7;0.583333333;5;0.583;green;4;green;1;no;ID171_WM_InterferenceIB_m_3y;no;6;4;0.75;0.666666667;0.583;0.6875;0;3;
171;m;40;3;no;40;3;young;Fife;no;;1 and 2;2;12;no;7;0.583333333;5;0.583;purple;4;yellow;1;no;ID171_WM_InterferenceIB_m_3y;no;5;3;0.625;0.5;0.583;0.6875;0;3;
176;f;49;4;no;59;4;old;Fife;no;;1 and 2;1;8;yes;8;1;0;1;yellow;2;yellow;2;yes;ID176_WM_InterferenceIB_f_4y;yes;8;6;1;1;1;1;1;4;
176;f;49;4;no;59;4;old;Fife;no;;1 and 2;2;8;yes;8;1;0;1;green;2;green;3;yes;ID176_WM_InterferenceIB_f_4y;yes;8;6;1;1;1;1;1;4;
172;m;44;3;no;44;3;young;Fife;no;;1 and 2;1;10;no;7;0.7;3;0.787;yellow;2;yellow;2;no;ID172_WM_InterferenceIB_m_3y;no;6;4;0.75;0.666666667;0.75;0.8125;0;3;
172;m;44;3;no;44;3;young;Fife;no;;1 and 2;2;8;no;7;0.875;1;0.787;yellow;1;yellow;1;no;ID172_WM_InterferenceIB_m_3y;no;7;5;0.875;0.833333333;0.75;0.8125;0;4;
174;f;55;4;no;56;4;old;Fife;no;;1 and 2;1;9;yes;8;0.888888889;1;0.882;yellow;2;purple;4;no;ID174_WM_InterferenceIB_f_4y;no;7;5;0.875;0.833333333;0.833;0.875;0;3;
174;f;55;4;no;56;4;old;Fife;no;;1 and 2;2;8;no;7;0.875;1;0.882;purple;4;purple;4;no;ID174_WM_InterferenceIB_f_4y;no;7;5;0.875;0.833333333;0.833;0.875;0;4;
170;f;43;3;no;43;3;young;Fife;no;;1 and 2;1;8;yes;8;1;0;1;purple;1;purple;4;no;ID170_WM_InterferenceIB_f_3y;yes;8;6;1;1;1;1;1;4;
170;f;43;3;no;43;3;young;Fife;no;;1 and 2;2;8;yes;8;1;0;1;purple;4;purple;4;yes;ID170_WM_InterferenceIB_f_3y;yes;8;6;1;1;1;1;1;4;
168;f;54;4;no;54;4;old;Edinburgh;no;;1 and 2;1;12;no;7;0.583333333;5;0.729;purple;1;purple;1;no;ID168_WM_InterferenceIB_f_4y;no;6;4;0.75;0.666666667;0.75;0.8125;0;3;
168;f;54;4;no;54;4;old;Edinburgh;no;;1 and 2;2;8;no;7;0.875;1;0.729;purple;3;green;3;no;ID168_WM_InterferenceIB_f_4y;no;7;5;0.875;0.833333333;0.75;0.8125;0;4;
173;m;40;3;no;40;3;young;Fife;no;;1 and 2;1;8;no;6;0.75;2;;blue;3;blue;3;no;ID173_WM_InterferenceIB_m_3y;no;6;4;0.75;0.666666667;0.667;0.8125;0;4;
173;m;40;3;no;40;3;young;Fife;no;;1 and 2;2;8;no;7;0.875;1;;blue;3;blue;2;no;ID173_WM_InterferenceIB_m_3y;no;6;4;0.75;0.666666667;0.667;0.8125;0;4;
175;f;41;3;no;41;3;young;Fife;no;;1 and 2;1;12;no;7;0.583333333;5;;yellow;2;yellow;2;no;ID175_WM_InterferenceIB_f_3y;no;5;3;0.625;0.5;0.5;0.6875;0;3;
175;f;41;3;no;41;3;young;Fife;no;;1 and 2;2;12;no;7;0.583333333;5;;yellow;1;yellow;1;no;ID175_WM_InterferenceIB_f_3y;no;5;3;0.625;0.5;0.5;0.6875;0;3;
177;f;52;4;no;52;4;old;Fife;no;;1 and 2;1;8;no;7;0.875;1;;yellow;2;green;1;no;ID177_WM_InterferenceIB_f_4y;no;6;4;0.75;0.666666667;0.667;0.75;0;4;
177;f;52;4;no;52;4;old;Fife;no;;1 and 2;2;8;no;7;0.875;1;;yellow;1;yellow;1;no;ID177_WM_InterferenceIB_f_4y;no;6;4;0.75;0.666666667;0.667;0.75;0;4;
184;m;58;4;no;58;4;old;Fife;no;;1 and 2;1;8;no;7;0.875;1;0.8125;yellow;2;green;1;no;ID184_WM_InterferenceIB_m_4y;no;7;5;0.875;0.833333333;0.75;0.8125;0;4;
184;m;58;4;no;58;4;old;Fife;no;;1 and 2;2;8;no;6;0.75;2;0.8125;yellow;1;yellow;1;no;ID184_WM_InterferenceIB_m_4y;no;6;4;0.75;0.666666667;0.75;0.8125;0;4;
182;f;56;4;no;56;4;old;Fife;no;;1 and 2;1;16;no;7;0.4375;9;0.3854;green;4;blue;3;no;ID182_WM_InterferenceIB_f_4y_part1, ID182_WM_InterferenceIB_f_4y_part2;no;6;4;0.75;0.666666667;0.583;0.6875;0;3;Camera missed first 2 rounds and second trial in separate video
182;f;56;4;no;56;4;old;Fife;no;;1 and 2;2;18;no;6;0.333333333;12;0.3854;yellow;1;green;3;no;ID182_WM_InterferenceIB_f_4y_part1, ID182_WM_InterferenceIB_f_4y_part10;no;5;3;0.625;0.5;0.583;0.6875;0;3;
181;f;56;4;no;56;4;old;Fife;no;;1 and 2;1;8;yes;8;1;0;0.9375;yellow;2;yellow;2;no;ID181_WM_InterferenceIB_f_4y;yes;8;6;1;1;0.916;0.9375;0;4;
181;f;56;4;no;56;4;old;Fife;no;;1 and 2;2;8;no;7;0.875;1;0.9375;yellow;1;yellow;1;no;ID181_WM_InterferenceIB_f_4y;no;7;5;0.875;0.833333333;0.916;0.9375;0;4;
194;m;51;4;no;51;4;old;Edinburgh;no;;1 and 2;1;12;yes;8;0.666666667;4;0.666666667;yellow;2;yellow;1;no;ID194_WM_InterferenceIB_m_4y;no;5;3;0.625;0.5;0.5;0.625;0;2;
194;m;51;4;no;51;4;old;Edinburgh;no;;1 and 2;2;12;yes;8;0.666666667;4;0.666666667;yellow;2;yellow;2;no;ID194_WM_InterferenceIB_m_4y;no;5;3;0.625;0.5;0.5;0.625;0;3;
192;m;45;3;no;45;3;young;Edinburgh;no;;1 and 2;1;11;no;7;0.636363636;4;0.718181818;green;4;yellow;1;no;ID192_WM_InterferenceIB_m_3y;no;6;4;0.75;0.666666667;0.667;0.75;0;3;
192;m;45;3;no;45;3;young;Edinburgh;no;;1 and 2;2;10;yes;8;0.8;2;0.718181818;green;4;green;1;no;ID192_WM_InterferenceIB_m_3y;no;6;4;0.75;0.666666667;0.667;0.75;0;3;
169;m;52;4;no;52;4;old;Edinburgh;no;;1 and 2;1;8;no;7;0.875;1;0.755681818;yellow;2;green;2;no;ID169_WM_InterferenceIB_m_4y;no;7;5;0.875;0.833333333;0.75;0.8125;0;4;
169;m;52;4;no;52;4;old;Edinburgh;no;;1 and 2;2;11;no;7;0.636363636;4;0.755681818;yellow;2;purple;4;no;ID169_WM_InterferenceIB_m_4y;no;6;4;0.75;0.666666667;0.75;0.8125;0;3;
199;f;57;4;no;57;4;old;Edinburgh;no;;1 and 2;1;11;no;7;0.636363636;4;0.707070707;green;4;purple;4;no;ID199_WM_InterferenceIB_f_4y;no;6;4;0.75;0.666666667;0.75;0.8125;0;3;
199;f;57;4;no;57;4;old;Edinburgh;no;;1 and 2;2;9;no;7;0.777777778;2;0.707070707;yellow;2;purple;4;no;ID199_WM_InterferenceIB_f_4y;no;7;5;0.875;0.833333333;0.75;0.8125;0;3;
197;f;45;3;no;46;3;young;Edinburgh;no;;1 and 2;1;11;yes;8;0.727272727;3;0.808080808;yellow;2;green;2;no;ID197_WM_InterferenceIB_f_3y;no;5;3;0.625;0.5;0.665;0.75;0;2;
197;f;45;3;no;46;3;young;Edinburgh;no;;1 and 2;2;9;yes;8;0.888888889;1;0.808080808;yellow;2;blue;3;no;ID197_WM_InterferenceIB_f_3y;no;7;5;0.875;0.833333333;0.665;0.75;0;3;
198;f;41;3;no;41;3;young;Edinburgh;no;;1 and 2;1;13;no;7;0.538461538;6;0.560897436;yellow;2;yellow;1;no;ID198_WM_InterferenceIB_f_3y;no;6;4;0.75;0.666666667;0.918;0.6875;0;3;
198;f;41;3;no;41;3;young;Edinburgh;no;;1 and 2;2;12;no;7;0.583333333;5;0.560897436;green;4;blue;3;no;ID198_WM_InterferenceIB_f_3y;no;5;3;0.625;0.5;0.918;0.6875;0;3;
190;f;43;3;no;43;3;young;Edinburgh;no;;1 and 2;1;8;no;7;0.875;1;0.755681818;yellow;2;green;2;no;ID190_WM_InterferenceIB_f_3y;no;7;5;0.875;0.833333333;0.75;0.8125;0;4;
190;f;43;3;no;43;3;young;Edinburgh;no;;1 and 2;2;11;no;7;0.636363636;4;0.755681818;yellow;2;yellow;2;no;ID190_WM_InterferenceIB_f_3y;no;6;4;0.75;0.666666667;0.75;0.8125;0;3;
191;m;43;3;no;43;3;young;Edinburgh;no;;1 and 2;1;8;no;6;0.75;2;0.725;blue;3;yellow;1;no;ID191_WM_InterferenceIB_m_3y;no;6;4;0.75;0.666666667;0.667;0.75;0;4;
191;m;43;3;no;43;3;young;Edinburgh;no;;1 and 2;2;10;no;7;0.7;3;0.725;yellow;2;blue;3;no;ID191_WM_InterferenceIB_m_3y;no;6;4;0.75;0.666666667;0.667;0.75;0;3;
189;m;41;3;no;41;3;young;Edinburgh;no;;1 and 2;1;12;yes;8;0.666666667;4;0.683333333;purple;1;green;1;no;ID189_WM_InterferenceIB_m_3y;no;6;4;0.75;0.666666667;0.667;0.75;0;3;
189;m;41;3;no;41;3;young;Edinburgh;no;;1 and 2;2;10;no;7;0.7;3;0.683333333;yellow;2;yellow;1;no;ID189_WM_InterferenceIB_m_3y;no;6;4;0.75;0.666666667;0.667;0.75;0;3;
193;m;54;4;no;54;4;old;Edinburgh;no;;1 and 2;1;12;no;7;0.583333333;5;0.791666667;purple;1;yellow;1;no;ID193_WM_InterferenceIB_m_4y;no;6;4;0.75;0.666666667;0.833;0.875;0;3;
193;m;54;4;no;54;4;old;Edinburgh;no;;1 and 2;2;8;yes;8;1;0;0.791666667;green;4;green;1;no;ID193_WM_InterferenceIB_m_4y;yes;8;6;1;1;0.833;0.875;0;4;
196;f;36;3;no;36;3;young;Edinburgh;no;;1 and 2;1;14;yes;8;0.571428571;6;0.723214286;green;4;yellow;2;no;ID196_WM_InterferenceIB_f_3y;no;6;4;0.75;0.666666667;0.75;0.8075;0;3;
196;f;36;3;no;36;3;young;Edinburgh;no;;1 and 2;2;8;no;7;0.875;1;0.723214286;green;4;purple;4;no;ID196_WM_InterferenceIB_f_3y;no;7;5;0.875;0.833333333;0.75;0.8075;0;4;
195;m;58;4;no;58;4;old;Edinburgh;no;;1 and 2;1;8;yes;8;1;0;0.791666667;yellow;2;blue;3;no;ID195_WM_InterferenceIB_m_4y;yes;8;6;1;1;0.833;0.875;0;4;
195;m;58;4;no;58;4;old;Edinburgh;no;;1 and 2;2;12;no;7;0.583333333;5;0.791666667;yellow;2;blue;3;no;ID195_WM_InterferenceIB_m_4y;no;6;4;0.75;0.666666667;0.833;0.875;0;3;
167;f;57;4;no;58;4;old;Edinburgh;no;;1 and 2;1;14;yes;8;0.571428571;6;0.554945055;purple;1;blue;3;no;ID167_WM_InterferenceIB_f_4y;no;4;2;0.5;0.333333333;0.5;0.625;0;2;
167;f;57;4;no;58;4;old;Edinburgh;no;;1 and 2;2;13;no;7;0.538461538;6;0.554945055;purple;1;purple;4;no;ID167_WM_InterferenceIB_f_4y;no;6;4;0.75;0.666666667;0.5;0.625;0;3;
